"";"Timestamp";"Gender";"Age";"City";"Profession";"Education";"Spread";"Emotion_Unbalance";"Places";"Holiday";"Counter";"Combat";"Equiped";"Safe";"Fear_Index";"Government_Efficiency";"Fear_on_Holiday";"Rumors_Impact";"NewSafeData";"NewAgeGroup";"NewEducation"
"60";"2/22/2017 20:22:58";"Male";"15-25";"Mumbai ";"Student";"UnderGraduate";"4";"4";"5";"3";"3";"2";"3";"2";65;-0,987633291520327;0,304993050247276;-0,0650928886553455;"Safe";"15-25";"UnderGraduate"
"61";"2/22/2017 20:25:07";"Male";"25-35";"India";"Self Employed";"Masters";"4";"4";"5";"2";"4";"4";"4";"2";72,5;0,609057413680537;0,150370696767179;-0,640930368868674;"Safe";"25-35";"Post Graduate"
"62";"2/22/2017 20:27:03";"Male";"15-25";"Gurgaon";"Employee at an organisation";"Graduate";"4";"1";"4";"2";"2";"4";"4";"3";60;0,383067861728553;-0,528572082219099;-0,528061471176525;"Neutral";"15-25";"Graduate"
"63";"2/22/2017 20:28:07";"Female";"15-25";"Mumbai ";"Student";"UnderGraduate";"4";"2";"4";"2";"4";"3";"2";"1";55;-0,659639276816802;-0,179448089165539;-1,08567195047114;"Safe";"15-25";"UnderGraduate"
"64";"2/22/2017 20:29:58";"Female";"15-25";"Mumbai ";"Student";"UnderGraduate";"3";"4";"3";"2";"1";"3";"2";"4";55;-0,801088762725968;-1,07191440387566;-0,036287980386191;"Unsafe";"15-25";"UnderGraduate"
"65";"2/22/2017 20:31:47";"Female";"15-25";"Mumbai ";"Employee at an organisation";"Graduate";"5";"4";"5";"3";"4";"5";"4";"3";82,5;0,998134756666324;1,0629356868583;0,0662728208481637;"Neutral";"15-25";"Graduate"
"66";"2/22/2017 20:33:49";"Male";"15-25";"Mumbai ";"Employee at an organisation";"Graduate";"3";"3";"3";"3";"3";"3";"3";"3";60;-0,30811805175288;-1,08219618981303;0,295742050630801;"Neutral";"15-25";"Graduate"
"67";"2/22/2017 20:33:58";"Male";"35-45";"Pune";"Private service";"Post Graduate";"5";"4";"5";"3";"4";"4";"4";"3";80;0,530986324050886;1,08588895031056;0,0365156997025705;"Neutral";"35-45";"Post Graduate"
"68";"2/22/2017 20:35:05";"Male";"15-25";"Mumbai ";"Student";"UnderGraduate";"3";"4";"4";"4";"2";"2";"2";"2";57,5;-1,57074901796099;-0,612764674500534;0,739137129257571;"Safe";"15-25";"UnderGraduate"
"69";"2/22/2017 20:37:57";"Male";"25-35";"Mumbai ";"Employee at an organisation";"Graduate";"4";"4";"5";"5";"4";"5";"5";"4";90;1,29982075940554;0,314471083565243;1,81022138884609;"Unsafe";"25-35";"Graduate"
"70";"2/22/2017 20:38:01";"Male";"25-35";"Mumbai ";"Student";"Post Graduate";"4";"4";"4";"2";"3";"4";"4";"3";70;0,544808975399059;-0,0575437892254495;-0,411368126586842;"Neutral";"25-35";"Post Graduate"
"71";"2/22/2017 20:38:14";"Female";"15-25";"Mumbai ";"Employee at an organisation";"Graduate";"4";"4";"4";"3";"4";"4";"2";"2";67,5;-0,212476587910931;0,159518991894468;-0,0842987946890996;"Safe";"15-25";"Graduate"
"72";"2/22/2017 20:38:27";"Male";"15-25";"Bhopal";"Student";"UnderGraduate";"4";"3";"4";"1";"2";"3";"2";"1";50;-0,922431870902117;-0,166559338086126;-1,63507135261928;"Safe";"15-25";"UnderGraduate"
